id,numero,cliente,email_orgao,email_contabilidade,responsavel,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
2,2,CM AMPARO DO SÃO FRANCISCO,camaramunicipalasf@gmail.com,tinho-weliton@hotmail.com,Jadsson News,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
3,3,CM CANHOBA,camara.canhoba@hotmail.com,denilsontrindade8@yahoo.com.br,Jadsson News,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
4,4,CM ITABI,camaraitabi@hotmail.com,tinho-weliton@hotmail.com,Jadsson News,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
5,5,CM JAPARATUBA,camarajaparatuba@gmail.com,CAMARAS@CATCONSULTORIA.COM.BR,Produção Própria,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
6,6,CM MALHADA DOS BOIS,camaramunicipal.malhadaa@gmail.com,denilsontrindade8@yahoo.com.br,Jadsson News,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
7,7,CM NOSSA SENHORA APARECIDA (SEM GASOLINA),cmdeaparecida@gmail.com,denilsontrindade8@yahoo.com.br,Jadsson News,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
8,8,CM TOBIAS BARRETO,camaratobias2019@gmail.com,CAMARAS@CATCONSULTORIA.COM.BR,Jadsson News,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
9,9,CM AREIA BRANCA,cvereadoresareiabranca@gmail.com,CAMARAS@CATCONSULTORIA.COM.BR,Produção Própria,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,,,,
10,10,CM GRACCHO,camaragracchocardoso@hotmail.com,denilsontrindade8@yahoo.com.br,Ítalo,,,,,,,,,,,,
11,11,CM INDIAROBA,diretoria.cmi2023@gmail.com,liziane@erpac.com.br,Ítalo,,,,,,,,,,,,
12,12,CM SANTANA,Camarassf@outlook.com,joaovicente@atecconsultoria.com.br milton@atecconsultoria.com.br,Ítalo,,,,,,,,,,,,
13,13,CM SÃO FRANCISCO,camara.m.v.sf21@gmail.com,joaovicente@atecconsultoria.com.br milton@atecconsultoria.com.br,Ítalo,,,,,,,,,,,,
14,14,CM BREJO GRANDE,cmbrejo2019@gmail.com,joao.junior@atecconsultoria.com.br milton@atecconsultoria.com.br,Vitor,,,,,,,,,,,,
15,15,CM GENERAL MAYNARD,camaragalmaynard@gmail.com,CAMARAS@CATCONSULTORIA.COM.BR,Vitor,,,,,,,,,,,,
16,16,CM RIACHUELO,financeiro@camaraderiachuelo.se.gov.br,joaovicente@atecconsultoria.com.br milton@atecconsultoria.com.br,Vitor,,,,,,,,,,,,
17,17,CM MALHADOR,"camaramunicipalmalhador@gmail.com,  cmmalhador.controleinterno@gmail.com",bruno@erpac.com.br,Vitor,,,,,,,,,,,,
18,18,CM SANTA ROSA,cmstarosa@yahoo.com.br,CAMARAS@CATCONSULTORIA.COM.BR,Vitor,,,,,,,,,,,,
19,19,CM SÃO MIGUEL DO ALEIXO,camaramunicipalaleixo23@hotmail.com,bruno@erpac.com.br,Vitor,,,,,,,,,,,,
