id,nome,tipo,cidade,estado,responsavel,email,telefone,observacoes
1,CM AREIA BRANCA,Câmara Municipal,AREIA BRANCA,SE,Ítalo,,,
3,CM CEDRO,Câmara Municipal,CEDRO DE SÃO JOÃO,SE,Ítalo,,,
4,CM AMPARO DO SÃO FRANCISCO,Câmara Municipal,AMPARO DO SÃO FRANCISCO,SE,Jadsson,,,
5,CM CRISTINÁPOLIS,Câmara Municipal,CRISTINÁPOLIS,SE,Ítalo,,,
6,CM NOSSA SENHORA APARECIDA,Câmara Municipal,NOSSA SENHORA APARECIDA,SE,Jadsson,,,
7,CM GRACCHO,Câmara Municipal,GRACCHO CARDOSO,SE,Ítalo,,,
8,CM CANHOBA,Câmara Municipal,CANHOBA,SE,Jadsson,,,
9,CM CAPELA,Câmara Municipal,CAPELA,SE,Jadsson,,,
10,CM FEIRA NOVA,Câmara Municipal,FEIRA NOVA,SE,Jadsson,,,
11,CM FREI PAULO,Câmara Municipal,FREI PAULO,SE,Jadsson,,,
12,CM INDIAROBA,Câmara Municipal,INDIAROBA,SE,Ítalo,,,
13,CM GARARU,Câmara Municipal,GARARU,SE,Jadsson,,,
14,CM LAGARTO,Câmara Municipal,LAGARTO,SE,Ítalo,,,
15,CM ITABI,Câmara Municipal,ITABI,SE,Jadsson,,,
16,CM JAPARATUBA,Câmara Municipal,JAPARATUBA,SE,Jadsson,,,
17,CM PROPRIÁ,Câmara Municipal,PROPRIÁ,SE,Ítalo,,,
18,CM MALHADA DOS BOIS,Câmara Municipal,MALHADA DOS BOIS,SE,Jadsson,,,
19,CM NEÓPOLIS,Câmara Municipal,NEÓPOLIS,SE,Jadsson,,,
20,CM RIACHÃO,Câmara Municipal,RIACHÃO DO DANTAS,SE,Ítalo,,,
21,CM TOBIAS BARRETO,Câmara Municipal,TOBIAS BARRETO,SE,Jadsson,,,
22,CM SANTANA,Câmara Municipal,SANTANA DO SÃO FRANCISCO,SE,Ítalo,,,
23,PM CARIRA,Prefeitura,CARIRA,SE,Jadsson,,,
24,PM FREI PAULO,Prefeitura,FREI PAULO,SE,Jadsson,,,
25,CM SÃO FRANCISCO,Câmara Municipal,SÃO FRANCISCO,SE,Ítalo,,,
26,CM TELHA,Câmara Municipal,TELHA,SE,Ítalo,,,
27,PM ITABI,Prefeitura,ITABI,SE,Jadsson,,,
28,PM JAPARATUBA,Prefeitura,JAPARATUBA,SE,Jadsson,,,
29,CONSBAJU,Outro,CONSÓRCIO DE SANEAMENTO BÁSICO DA GRANDE ARACAJU,SE,Ítalo,,,
30,PM CARMÓPOLIS,Prefeitura,CARMÓPOLIS,SE,Ítalo,,,
31,PM PEDRA MOLE,Prefeitura,PEDRA MOLE,SE,Ítalo,,,
32,PM POÇO,Prefeitura,POÇO REDONDO,SE,Ítalo,,,
33,PM SANTANA,Prefeitura,SANTANA DO SÃO FRANCISCO,SE,Ítalo,,,
34,PM SÃO FRANCISCO,Prefeitura,SÃO FRANCISCO,SE,Ítalo,,,
35,CM BREJO GRANDE,Câmara Municipal,BREJO GRANDE,SE,Vitor,,,
37,CM MALHADOR,Câmara Municipal,MALHADOR,SE,Vitor,,,
38,CM GENERAL MAYNARD,Câmara Municipal,GENERAL MAYNARD,SE,Vitor,,,
39,PM DIVINA,Prefeitura,DIVINA PASTORA,SE,Vitor,,,
40,CM SÃO MIGUEL DO ALEIXO,Câmara Municipal,SÃO MIGUEL DO ALEIXO,SE,Vitor,,,
41,PM SANTA ROSA,Prefeitura,SANTA ROSA DE LIMA,SE,Vitor,,,
42,CM RIACHUELO,Câmara Municipal,RIACHUELO,SE,Vitor,,,
43,CM SANTA ROSA,Câmara Municipal,SANTA ROSA DE LIMA,SE,Vitor,,,
44,PM BREJO GRANDE,Prefeitura,BREJO GRANDE,SE,Vitor,,,
45,CM SIRIRI,Câmara Municipal,SIRIRI,SE,Vitor,,,
46,CM DIVINA,Câmara Municipal,DIVINA PASTORA,SE,Vitor,,,
47,PM SÃO MIGUEL DO ALEIXO,Prefeitura,SÃO MIGUEL DO ALEIXO,SE,Vitor,,,
48,CM LARANJEIRAS,Câmara Municipal,LARANJEIRAS,SE,Vitor,,,
49,CM SALGADO,Câmara Municipal,SALGADO,SE,Vitor,,,
50,PM SIRIRI,Prefeitura,SIRIRI,SE,Vitor,,,
