id,cliente_id,mes_referencia,item_id,disponibilidade,atualidade,serie_historica,observacoes
84,18,09/2026,1,Não preenchido,Não preenchido,Não preenchido,
85,18,09/2026,2,Não preenchido,Não preenchido,Não preenchido,
86,18,09/2026,3,Não preenchido,Não preenchido,Não preenchido,
87,18,09/2026,4,Não preenchido,Não preenchido,Não preenchido,
88,18,09/2026,5,Não preenchido,Não preenchido,Não preenchido,
89,18,09/2026,6,Não preenchido,Não preenchido,Não preenchido,
90,18,09/2026,7,Não preenchido,Não preenchido,Não preenchido,
91,18,09/2026,8,Não preenchido,Não preenchido,Não preenchido,
92,18,09/2026,9,Não preenchido,Não preenchido,Não preenchido,
93,18,09/2026,10,Não preenchido,Não preenchido,Não preenchido,
94,18,09/2026,11,Não preenchido,Não preenchido,Não preenchido,
95,18,09/2026,12,Não preenchido,Não preenchido,Não preenchido,
96,18,09/2026,13,Não preenchido,Não preenchido,Não preenchido,
97,18,09/2026,14,Não preenchido,Não preenchido,Não preenchido,
98,18,09/2026,15,Não preenchido,Não preenchido,Não preenchido,
99,18,09/2026,16,Não preenchido,Não preenchido,Não preenchido,
100,18,09/2026,17,Não preenchido,Não preenchido,Não preenchido,
101,18,09/2026,18,Não preenchido,Não preenchido,Não preenchido,
102,18,09/2026,19,Não preenchido,Não preenchido,Não preenchido,
103,18,09/2026,20,Não preenchido,Não preenchido,Não preenchido,
104,18,09/2026,21,Não preenchido,Não preenchido,Não preenchido,
105,18,09/2026,22,Não preenchido,Não preenchido,Não preenchido,
106,18,09/2026,23,Não preenchido,Não preenchido,Não preenchido,
107,18,09/2026,24,Não preenchido,Não preenchido,Não preenchido,
108,18,09/2026,25,Não preenchido,Não preenchido,Não preenchido,
109,18,09/2026,26,Não preenchido,Não preenchido,Não preenchido,
110,18,09/2026,27,Não preenchido,Não preenchido,Não preenchido,
111,18,09/2026,28,Não preenchido,Não preenchido,Não preenchido,
112,18,09/2026,29,Não preenchido,Não preenchido,Não preenchido,
113,18,09/2026,30,Não preenchido,Não preenchido,Não preenchido,
114,18,09/2026,31,Não preenchido,Não preenchido,Não preenchido,
115,18,09/2026,32,Não preenchido,Não preenchido,Não preenchido,
116,18,09/2026,33,Não preenchido,Não preenchido,Não preenchido,
117,18,09/2026,34,Não preenchido,Não preenchido,Não preenchido,
118,18,09/2026,35,Não preenchido,Não preenchido,Não preenchido,
119,18,09/2026,36,Não preenchido,Não preenchido,Não preenchido,
120,18,09/2026,37,Não preenchido,Não preenchido,Não preenchido,
121,18,09/2026,38,Não preenchido,Não preenchido,Não preenchido,
122,18,09/2026,39,Não preenchido,Não preenchido,Não preenchido,
123,18,09/2026,40,Não preenchido,Não preenchido,Não preenchido,
124,18,09/2026,41,Não preenchido,Não preenchido,Não preenchido,
125,18,09/2026,42,Não preenchido,Não preenchido,Não preenchido,
126,18,09/2026,43,Não preenchido,Não preenchido,Não preenchido,
127,18,09/2026,44,Não preenchido,Não preenchido,Não preenchido,
128,18,09/2026,45,Não preenchido,Não preenchido,Não preenchido,
129,18,09/2026,46,Não preenchido,Não preenchido,Não preenchido,
130,18,09/2026,47,Não preenchido,Não preenchido,Não preenchido,
131,18,09/2026,48,Não preenchido,Não preenchido,Não preenchido,
132,18,09/2026,49,Não preenchido,Não preenchido,Não preenchido,
133,18,09/2026,50,Não preenchido,Não preenchido,Não preenchido,
134,18,09/2026,51,Não preenchido,Não preenchido,Não preenchido,
135,18,09/2026,52,Não preenchido,Não preenchido,Não preenchido,
136,18,09/2026,53,Não preenchido,Não preenchido,Não preenchido,
137,18,09/2026,54,Não preenchido,Não preenchido,Não preenchido,
138,18,09/2026,55,Não preenchido,Não preenchido,Não preenchido,
139,18,09/2026,56,Não preenchido,Não preenchido,Não preenchido,
140,18,09/2026,57,Não preenchido,Não preenchido,Não preenchido,
141,18,09/2026,58,Não preenchido,Não preenchido,Não preenchido,
142,18,09/2026,59,Não preenchido,Não preenchido,Não preenchido,
143,18,09/2026,60,Não preenchido,Não preenchido,Não preenchido,
144,18,09/2026,61,Não preenchido,Não preenchido,Não preenchido,
145,18,09/2026,62,Não preenchido,Não preenchido,Não preenchido,
146,18,09/2026,63,Não preenchido,Não preenchido,Não preenchido,
147,18,09/2026,64,Não preenchido,Não preenchido,Não preenchido,
148,18,09/2026,65,Não preenchido,Não preenchido,Não preenchido,
149,18,09/2026,66,Não preenchido,Não preenchido,Não preenchido,
150,18,09/2026,67,Não preenchido,Não preenchido,Não preenchido,
151,18,09/2026,68,Não preenchido,Não preenchido,Não preenchido,
152,18,09/2026,69,Não preenchido,Não preenchido,Não preenchido,
153,18,09/2026,70,Não preenchido,Não preenchido,Não preenchido,
154,18,09/2026,71,Não preenchido,Não preenchido,Não preenchido,
155,18,09/2026,72,Não preenchido,Não preenchido,Não preenchido,
156,18,09/2026,73,Não preenchido,Não preenchido,Não preenchido,
157,18,09/2026,74,Não preenchido,Não preenchido,Não preenchido,
158,18,09/2026,75,Não preenchido,Não preenchido,Não preenchido,
159,18,09/2026,76,Não preenchido,Não preenchido,Não preenchido,
160,18,09/2026,77,Não preenchido,Não preenchido,Não preenchido,
161,18,09/2026,78,Não preenchido,Não preenchido,Não preenchido,
162,18,09/2026,79,Não preenchido,Não preenchido,Não preenchido,
163,18,09/2026,80,Não preenchido,Não preenchido,Não preenchido,
164,18,09/2026,81,Não preenchido,Não preenchido,Não preenchido,
165,18,09/2026,82,Não preenchido,Não preenchido,Não preenchido,
166,18,09/2026,83,Não preenchido,Não preenchido,Não preenchido,
